material,display_name,n_samples,mean,std,min,max,median
Al_board,Al_board,100,0.0032952775409867342,0.0008202107793807295,0.0017815632566562762,0.005431450488290287,0.003274109528574907
wood_board,wood_board,100,0.00419934149343299,0.0011332157955121424,0.001284921146506187,0.0065238208924108315,0.00418301290439135
washi,washi,100,0.013925558120879518,0.005039589441012903,0.0036510043971207705,0.025260092346055626,0.012927364345446196
rubber_board,rubber_board,100,0.0033421240772958456,0.0008695358897411524,0.0013527103544413671,0.005901543802919979,0.0034621509055318667
