rule,rep,similarity_25ms,similarity_100ms,similarity_250ms,trajectory_speed,temporal_selectivity,halfmax_width_ms,peak_time_dispersion_ms,mean_time_separation,weight_norm_rate_r,weight_norm_temporal_selectivity_r
STDP,1,0.9998494963066079,0.9997764670674743,0.9996072030322353,0.00015050369339207102,0.06971678815525197,459.04605263157896,103.82414348792071,0.5570853009500628,0.986450993062364,-0.16198781527869568
T_STDP,1,0.9997998616440441,0.9995635368305228,0.9987458708851005,0.00020013835595580385,0.04682062226059905,465.64885496183206,77.24664039769287,0.6787477980653241,0.9776214849209182,0.14173616159393138
SRDP,1,0.9986437700075834,0.9893978027646306,0.9429077563086306,0.0013562299924165836,0.08450058989197197,414.84375,125.11277362669128,0.39912525843592617,0.6360045449243443,0.9115188333976254
STDP,2,0.9997817364808554,0.9995965507188973,0.9993033550776715,0.0002182635191445066,0.02541301757405045,478.6269430051814,88.56430041908497,0.4824567471000771,0.9837164575907628,0.295602709741901
T_STDP,2,0.9994055430203689,0.9975704328659407,0.9943336623309978,0.0005944569796311187,0.11954233536649693,425.82236842105266,75.33310915731855,0.5801088056195598,0.9190717382008994,0.07466606768124195
SRDP,2,0.997839628256211,0.9858434600171629,0.9361062601708561,0.002160371743789078,0.11919209388612256,383.125,116.39772183441224,0.499940999093306,0.9309251688944667,0.823855949322344
STDP,3,0.9998697395838021,0.9997824608778835,0.9996157462454726,0.00013026041619794353,0.035890305506281424,475.14619883040933,70.57097957301384,0.5076357480750493,0.9944279448483709,-0.01767622118007541
T_STDP,3,0.999777766789628,0.9990805390136559,0.9979635112491231,0.00022223321037204732,0.07981170931866552,449.65986394557825,68.30413767250974,0.643534710965036,0.9492779658437367,0.10894393516999853
SRDP,3,0.9981888075019866,0.9878635326754575,0.9450504412711321,0.001811192498013375,0.09866736179332482,408.0056179775281,125.524671746892,0.46657099273313196,0.8021423264444693,0.6637963553359835
STDP,4,0.9997894396168409,0.9996419408868817,0.9994019256728581,0.00021056038315909727,0.05198382244443033,468.34170854271355,64.45012284002813,0.554404727640839,0.9791831341684393,-0.24593224014572848
T_STDP,4,0.9995474289705663,0.9990075078477757,0.9978155086160003,0.0004525710294338913,0.07367554175381422,455.94594594594594,58.477488211251526,0.7067295991863063,0.9646182910586344,-0.23794250518887292
SRDP,4,0.9979058928220191,0.9873500425742148,0.955505261951964,0.002094107177980875,0.1290808412927494,364.3382352941176,86.70730055355354,0.47576678657573696,0.5219797291640115,0.7726174841796051
STDP,5,0.9998609874784661,0.9997570259727395,0.999546378020504,0.00013901252153382247,0.017550701854887555,483.8068181818182,65.24118590018378,0.4942165781308515,0.9763043615269765,0.9642767466728785
T_STDP,5,0.9996857603345266,0.9987934973821029,0.9975174280942959,0.0003142396654734174,0.04036109125579776,466.42011834319527,55.321000935881116,0.6254943589937392,0.943250760018808,0.2509236060400284
SRDP,5,0.9963580916626282,0.9659614819384167,0.8099017494623206,0.0036419083373716685,0.20724801494879072,318.1818181818182,118.32219591207117,0.37919484506626605,0.8065416948425485,0.7999971064905436
STDP,6,0.9999005222553429,0.9998361016224624,0.999708763356318,9.947774465705299e-05,0.053655073099785004,468.30601092896177,80.42327822849822,0.4778403935699728,0.9907158820843455,-0.10980251695496979
T_STDP,6,0.9998744267766566,0.9997833467421977,0.9994795136375216,0.00012557322334330235,0.043304907031161854,468.75,46.56496633076711,0.5766060273296179,0.9911373015475595,-0.025495444968062622
SRDP,6,0.9985807561246741,0.9915905501831006,0.9731625029517346,0.0014192438753257693,0.09029040244451084,393.65284974093265,76.3281049053728,0.4533961182856544,0.6331892510305757,0.8563938045954673
STDP,7,0.9998002695694199,0.9996590044437172,0.999361489252865,0.00019973043058011864,0.0203027808906769,481.25,92.28979981550367,0.5348404457626923,0.978522514906955,0.8652236829317781
