rule,rep,window,time_ms,between_within_separation
STDP,3,7,187.5,0.4104958202530984
STDP,3,8,212.5,0.5206401478731741
STDP,3,9,237.5,0.5920242551209413
STDP,3,10,262.5,0.5239536106106988
STDP,3,11,287.5,0.4613012041296339
STDP,3,12,312.5,0.5115304621680439
STDP,3,13,337.5,0.5348571902927997
STDP,3,14,362.5,0.4832484692317569
STDP,3,15,387.5,0.5112868124224671
STDP,3,16,412.5,0.5614404932136461
STDP,3,17,437.5,0.567561670427025
STDP,3,18,462.5,0.5328808472981124
STDP,3,19,487.5,0.4563345657649796
T_STDP,3,0,12.5,0.46424372652226387
T_STDP,3,1,37.5,0.5735151828637497
T_STDP,3,2,62.5,0.6018539517497137
T_STDP,3,3,87.5,0.6983735530219192
T_STDP,3,4,112.5,0.8014171371024901
T_STDP,3,5,137.5,0.7476232298132606
T_STDP,3,6,162.5,0.6258981394369876
T_STDP,3,7,187.5,0.6099200091048617
T_STDP,3,8,212.5,0.7032564793966991
T_STDP,3,9,237.5,0.7803318982548911
T_STDP,3,10,262.5,0.6245496719638282
T_STDP,3,11,287.5,0.5664976082959342
T_STDP,3,12,312.5,0.5826731899213227
T_STDP,3,13,337.5,0.6648401446284188
T_STDP,3,14,362.5,0.5936806631353881
T_STDP,3,15,387.5,0.637260257741697
T_STDP,3,16,412.5,0.6998403577118248
T_STDP,3,17,437.5,0.685082180059735
T_STDP,3,18,462.5,0.6572507833058947
T_STDP,3,19,487.5,0.5525860552698402
SRDP,3,0,12.5,0.44751946054707864
SRDP,3,1,37.5,0.7672734508229516
SRDP,3,2,62.5,0.7645299297660865
SRDP,3,3,87.5,0.6643239422165631
SRDP,3,4,112.5,0.6299614748687623
SRDP,3,5,137.5,0.5308689019666657
SRDP,3,6,162.5,0.43498009854289776
SRDP,3,7,187.5,0.4332476745890825
SRDP,3,8,212.5,0.44174379076158177
SRDP,3,9,237.5,0.4768368117674021
SRDP,3,10,262.5,0.3864692360499546
SRDP,3,11,287.5,0.37748422865861675
SRDP,3,12,312.5,0.3856821920424255
SRDP,3,13,337.5,0.4372467990014988
SRDP,3,14,362.5,0.36852430822224264
SRDP,3,15,387.5,0.3773589161024
SRDP,3,16,412.5,0.33488740661593064
SRDP,3,17,437.5,0.3592401485088346
SRDP,3,18,462.5,0.3410166615422663
SRDP,3,19,487.5,0.3722244220693981
STDP,4,0,12.5,0.5082765015349151
STDP,4,1,37.5,0.5274993043927159
STDP,4,2,62.5,0.44291370893928617
