rule,rep,condition,randomization,accuracy8,accuracy3,n_features
STDP,3,neuron_shuffled,0,0.24625000000000002,0.59,800
STDP,3,neuron_shuffled,1,0.22624999999999998,0.5875,800
STDP,3,neuron_shuffled,2,0.20625,0.595,800
STDP,3,rate_matched,0,0.32875,0.7350000000000001,800
STDP,3,rate_matched,1,0.33999999999999997,0.7387500000000001,800
STDP,3,rate_matched,2,0.32125000000000004,0.7324999999999999,800
T_STDP,3,full,0,0.39249999999999996,0.77625,800
T_STDP,3,time_collapsed,0,0.34125,0.7699999999999999,40
T_STDP,3,time_shuffled,0,0.34500000000000003,0.78375,800
T_STDP,3,time_shuffled,1,0.34375,0.78,800
T_STDP,3,time_shuffled,2,0.36750000000000005,0.78125,800
T_STDP,3,independent_shift,0,0.3275,0.7674999999999998,800
T_STDP,3,independent_shift,1,0.33499999999999996,0.7699999999999999,800
T_STDP,3,independent_shift,2,0.31249999999999994,0.77125,800
T_STDP,3,neuron_shuffled,0,0.24874999999999997,0.635,800
T_STDP,3,neuron_shuffled,1,0.23374999999999999,0.6525000000000001,800
T_STDP,3,neuron_shuffled,2,0.25,0.63375,800
T_STDP,3,rate_matched,0,0.43249999999999994,0.78625,800
T_STDP,3,rate_matched,1,0.40625,0.7725000000000001,800
T_STDP,3,rate_matched,2,0.38875,0.78,800
SRDP,3,full,0,0.46125000000000005,0.7925,800
SRDP,3,time_collapsed,0,0.4025,0.7737499999999999,40
SRDP,3,time_shuffled,0,0.39249999999999996,0.7775,800
SRDP,3,time_shuffled,1,0.40499999999999997,0.78,800
SRDP,3,time_shuffled,2,0.40124999999999994,0.7825,800
SRDP,3,independent_shift,0,0.3925,0.7825,800
SRDP,3,independent_shift,1,0.39875000000000005,0.7837500000000001,800
SRDP,3,independent_shift,2,0.37875,0.78125,800
SRDP,3,neuron_shuffled,0,0.30124999999999996,0.6975,800
SRDP,3,neuron_shuffled,1,0.3075,0.68375,800
SRDP,3,neuron_shuffled,2,0.315,0.705,800
SRDP,3,rate_matched,0,0.46125000000000005,0.7925,800
SRDP,3,rate_matched,1,0.46125000000000005,0.7925,800
SRDP,3,rate_matched,2,0.46125000000000005,0.7925,800
STDP,4,full,0,0.4125,0.7725,800
STDP,4,time_collapsed,0,0.36,0.765,40
STDP,4,time_shuffled,0,0.35875,0.7587499999999999,800
STDP,4,time_shuffled,1,0.355,0.76,800
STDP,4,time_shuffled,2,0.37375,0.7649999999999999,800
STDP,4,independent_shift,0,0.36375,0.76375,800
STDP,4,independent_shift,1,0.35250000000000004,0.765,800
STDP,4,independent_shift,2,0.36250000000000004,0.76375,800
STDP,4,neuron_shuffled,0,0.28125,0.64375,800
STDP,4,neuron_shuffled,1,0.22874999999999995,0.5925,800
STDP,4,neuron_shuffled,2,0.275,0.62,800
STDP,4,rate_matched,0,0.34625000000000006,0.75,800
STDP,4,rate_matched,1,0.37375,0.7325,800
STDP,4,rate_matched,2,0.35124999999999995,0.7449999999999999,800
T_STDP,4,full,0,0.41375,0.76125,800
T_STDP,4,time_collapsed,0,0.36375,0.7499999999999999,40
T_STDP,4,time_shuffled,0,0.37,0.7462499999999999,800
T_STDP,4,time_shuffled,1,0.36375,0.7499999999999999,800
T_STDP,4,time_shuffled,2,0.34375000000000006,0.7474999999999999,800
T_STDP,4,independent_shift,0,0.34875,0.75,800
T_STDP,4,independent_shift,1,0.35374999999999995,0.75,800
T_STDP,4,independent_shift,2,0.355,0.75,800
T_STDP,4,neuron_shuffled,0,0.3,0.69375,800
T_STDP,4,neuron_shuffled,1,0.26999999999999996,0.69125,800
T_STDP,4,neuron_shuffled,2,0.29000000000000004,0.7237500000000001,800
T_STDP,4,rate_matched,0,0.41,0.7625,800
T_STDP,4,rate_matched,1,0.39125,0.765,800
T_STDP,4,rate_matched,2,0.3825,0.75625,800
SRDP,4,full,0,0.45999999999999996,0.7887500000000001,800
SRDP,4,time_collapsed,0,0.43499999999999994,0.7875,40
SRDP,4,time_shuffled,0,0.42749999999999994,0.7899999999999999,800
SRDP,4,time_shuffled,1,0.425,0.79125,800
SRDP,4,time_shuffled,2,0.42874999999999996,0.795,800
SRDP,4,independent_shift,0,0.40750000000000003,0.7899999999999999,800
SRDP,4,independent_shift,1,0.41500000000000004,0.79125,800
SRDP,4,independent_shift,2,0.42124999999999996,0.7874999999999999,800
SRDP,4,neuron_shuffled,0,0.3400000000000001,0.6987500000000001,800
SRDP,4,neuron_shuffled,1,0.33125,0.68875,800
SRDP,4,neuron_shuffled,2,0.33124999999999993,0.6874999999999999,800
SRDP,4,rate_matched,0,0.45999999999999996,0.7887500000000001,800
SRDP,4,rate_matched,1,0.45999999999999996,0.7887500000000001,800
SRDP,4,rate_matched,2,0.45999999999999996,0.7887500000000001,800
STDP,5,full,0,0.38999999999999996,0.7787499999999999,800
STDP,5,time_collapsed,0,0.34125,0.7699999999999999,40
STDP,5,time_shuffled,0,0.30125,0.7625,800
STDP,5,time_shuffled,1,0.30625,0.7675000000000001,800
STDP,5,time_shuffled,2,0.31625000000000003,0.7662500000000001,800
STDP,5,independent_shift,0,0.33499999999999996,0.77,800
STDP,5,independent_shift,1,0.335,0.7675,800
STDP,5,independent_shift,2,0.33125,0.7725000000000001,800
STDP,5,neuron_shuffled,0,0.23249999999999998,0.6174999999999999,800
STDP,5,neuron_shuffled,1,0.2425,0.6087499999999999,800
STDP,5,neuron_shuffled,2,0.23500000000000001,0.6000000000000001,800
STDP,5,rate_matched,0,0.305,0.7387499999999999,800
STDP,5,rate_matched,1,0.3275,0.7475,800
STDP,5,rate_matched,2,0.3175,0.7374999999999999,800
T_STDP,5,full,0,0.37500000000000006,0.77375,800
T_STDP,5,time_collapsed,0,0.34125,0.7737499999999999,40
T_STDP,5,time_shuffled,0,0.35374999999999995,0.7750000000000001,800
T_STDP,5,time_shuffled,1,0.34750000000000003,0.77375,800
T_STDP,5,time_shuffled,2,0.3175,0.77125,800
T_STDP,5,independent_shift,0,0.31625,0.76625,800
T_STDP,5,independent_shift,1,0.31875,0.7725000000000001,800
T_STDP,5,independent_shift,2,0.34375,0.77125,800
T_STDP,5,neuron_shuffled,0,0.2725,0.6975,800
T_STDP,5,neuron_shuffled,1,0.27874999999999994,0.7,800
T_STDP,5,neuron_shuffled,2,0.285,0.69625,800
T_STDP,5,rate_matched,0,0.39625,0.79875,800
T_STDP,5,rate_matched,1,0.3725,0.78125,800
T_STDP,5,rate_matched,2,0.3637499999999999,0.78,800
SRDP,5,full,0,0.49375,0.8,800
SRDP,5,time_collapsed,0,0.47375000000000006,0.77625,40
SRDP,5,time_shuffled,0,0.4425,0.76875,800
SRDP,5,time_shuffled,1,0.44749999999999995,0.7575000000000001,800
SRDP,5,time_shuffled,2,0.43499999999999994,0.7762499999999999,800
SRDP,5,independent_shift,0,0.41875,0.77,800
SRDP,5,independent_shift,1,0.4149999999999999,0.7762500000000001,800
SRDP,5,independent_shift,2,0.39999999999999997,0.7675000000000001,800
SRDP,5,neuron_shuffled,0,0.34249999999999997,0.7175,800
SRDP,5,neuron_shuffled,1,0.3075,0.72625,800
SRDP,5,neuron_shuffled,2,0.31625000000000003,0.7137500000000001,800
SRDP,5,rate_matched,0,0.49375,0.8,800
SRDP,5,rate_matched,1,0.49375,0.8,800
SRDP,5,rate_matched,2,0.49375,0.8,800
STDP,6,full,0,0.38249999999999995,0.745,800
STDP,6,time_collapsed,0,0.33875,0.7425,40
STDP,6,time_shuffled,0,0.315,0.7362500000000001,800
STDP,6,time_shuffled,1,0.32875,0.7425,800
STDP,6,time_shuffled,2,0.31625000000000003,0.7387499999999999,800
STDP,6,independent_shift,0,0.335,0.7412500000000002,800
STDP,6,independent_shift,1,0.34249999999999997,0.7425,800
STDP,6,independent_shift,2,0.33625,0.75,800
STDP,6,neuron_shuffled,0,0.26249999999999996,0.5700000000000001,800
STDP,6,neuron_shuffled,1,0.25375000000000003,0.59375,800
STDP,6,neuron_shuffled,2,0.24875000000000003,0.60375,800
STDP,6,rate_matched,0,0.325,0.71875,800
STDP,6,rate_matched,1,0.35000000000000003,0.7175,800
STDP,6,rate_matched,2,0.3325,0.7337499999999999,800
T_STDP,6,full,0,0.39,0.74625,800
T_STDP,6,time_collapsed,0,0.34,0.7350000000000001,40
T_STDP,6,time_shuffled,0,0.325,0.7350000000000001,800
T_STDP,6,time_shuffled,1,0.32375,0.7337499999999999,800
T_STDP,6,time_shuffled,2,0.33124999999999993,0.7350000000000001,800
T_STDP,6,independent_shift,0,0.3275,0.7337499999999999,800
T_STDP,6,independent_shift,1,0.3225,0.7312500000000001,800
T_STDP,6,independent_shift,2,0.32999999999999996,0.73375,800
T_STDP,6,neuron_shuffled,0,0.23500000000000001,0.655,800
T_STDP,6,neuron_shuffled,1,0.24625,0.64625,800
T_STDP,6,neuron_shuffled,2,0.29374999999999996,0.6675000000000001,800
T_STDP,6,rate_matched,0,0.35624999999999996,0.7475,800
T_STDP,6,rate_matched,1,0.34875,0.7424999999999999,800
T_STDP,6,rate_matched,2,0.38875,0.7462500000000001,800
SRDP,6,full,0,0.41875,0.76,800
SRDP,6,time_collapsed,0,0.3875,0.7675000000000001,40
SRDP,6,time_shuffled,0,0.38999999999999996,0.7662500000000001,800
SRDP,6,time_shuffled,1,0.38499999999999995,0.76,800
SRDP,6,time_shuffled,2,0.38749999999999996,0.76875,800
SRDP,6,independent_shift,0,0.39249999999999996,0.77,800
SRDP,6,independent_shift,1,0.38500000000000006,0.7675000000000001,800
SRDP,6,independent_shift,2,0.3825,0.7687499999999999,800
SRDP,6,neuron_shuffled,0,0.33,0.68125,800
SRDP,6,neuron_shuffled,1,0.3175,0.6525,800
SRDP,6,neuron_shuffled,2,0.30874999999999997,0.6449999999999999,800
SRDP,6,rate_matched,0,0.41875,0.76,800
SRDP,6,rate_matched,1,0.41875,0.76,800
SRDP,6,rate_matched,2,0.41875,0.76,800
STDP,7,full,0,0.39499999999999996,0.7762500000000001,800
STDP,7,time_collapsed,0,0.34625,0.7649999999999999,40
STDP,7,time_shuffled,0,0.335,0.7562500000000001,800
STDP,7,time_shuffled,1,0.31625000000000003,0.7625,800
STDP,7,time_shuffled,2,0.33375,0.7649999999999999,800
STDP,7,independent_shift,0,0.34375,0.765,800
STDP,7,independent_shift,1,0.3475,0.75625,800
STDP,7,independent_shift,2,0.34875,0.7625,800
STDP,7,neuron_shuffled,0,0.23000000000000004,0.6012500000000001,800
STDP,7,neuron_shuffled,1,0.23875000000000002,0.6137499999999999,800
STDP,7,neuron_shuffled,2,0.24625000000000002,0.63875,800
STDP,7,rate_matched,0,0.35,0.7537499999999999,800
STDP,7,rate_matched,1,0.3524999999999999,0.7474999999999999,800
STDP,7,rate_matched,2,0.33874999999999994,0.7550000000000001,800
T_STDP,7,full,0,0.39499999999999996,0.7812499999999999,800
T_STDP,7,time_collapsed,0,0.37625000000000003,0.77625,40
T_STDP,7,time_shuffled,0,0.35124999999999995,0.775,800
T_STDP,7,time_shuffled,1,0.355,0.7725,800
T_STDP,7,time_shuffled,2,0.3675,0.7762499999999999,800
T_STDP,7,independent_shift,0,0.36750000000000005,0.7725000000000001,800
T_STDP,7,independent_shift,1,0.36,0.7725,800
T_STDP,7,independent_shift,2,0.35,0.76625,800
T_STDP,7,neuron_shuffled,0,0.28125,0.66875,800
T_STDP,7,neuron_shuffled,1,0.25625,0.6612500000000001,800
T_STDP,7,neuron_shuffled,2,0.27375000000000005,0.6525,800
T_STDP,7,rate_matched,0,0.38625000000000004,0.7725,800
T_STDP,7,rate_matched,1,0.3825,0.7737499999999999,800
T_STDP,7,rate_matched,2,0.395,0.77125,800
SRDP,7,full,0,0.41875,0.7787499999999999,800
SRDP,7,time_collapsed,0,0.36875,0.7449999999999999,40
SRDP,7,time_shuffled,0,0.37374999999999997,0.7725,800
SRDP,7,time_shuffled,1,0.38875000000000004,0.7750000000000001,800
SRDP,7,time_shuffled,2,0.39249999999999996,0.77125,800
SRDP,7,independent_shift,0,0.36375,0.7575,800
SRDP,7,independent_shift,1,0.37,0.75625,800
SRDP,7,independent_shift,2,0.37625000000000003,0.76125,800
SRDP,7,neuron_shuffled,0,0.30625,0.6525000000000001,800
SRDP,7,neuron_shuffled,1,0.33375,0.675,800
SRDP,7,neuron_shuffled,2,0.28125,0.65125,800
SRDP,7,rate_matched,0,0.41875,0.7787499999999999,800
SRDP,7,rate_matched,1,0.41875,0.7787499999999999,800
SRDP,7,rate_matched,2,0.41875,0.7787499999999999,800
STDP,8,full,0,0.40499999999999997,0.765,800
STDP,8,time_collapsed,0,0.3275,0.75125,40
STDP,8,time_shuffled,0,0.34625000000000006,0.76,800
STDP,8,time_shuffled,1,0.32125000000000004,0.745,800
STDP,8,time_shuffled,2,0.3175,0.75,800
STDP,8,independent_shift,0,0.33,0.75625,800
STDP,8,independent_shift,1,0.3350000000000001,0.7525,800
STDP,8,independent_shift,2,0.33125000000000004,0.7525,800
STDP,8,neuron_shuffled,0,0.25125000000000003,0.62125,800
STDP,8,neuron_shuffled,1,0.28625,0.6525000000000001,800
STDP,8,neuron_shuffled,2,0.26375,0.6275,800
STDP,8,rate_matched,0,0.31875,0.7325,800
STDP,8,rate_matched,1,0.34625,0.7449999999999999,800
STDP,8,rate_matched,2,0.31875,0.74875,800
T_STDP,8,full,0,0.43999999999999995,0.78125,800
T_STDP,8,time_collapsed,0,0.38125,0.7775000000000001,40
T_STDP,8,time_shuffled,0,0.39,0.7962499999999999,800
T_STDP,8,time_shuffled,1,0.37125,0.7875,800
T_STDP,8,time_shuffled,2,0.37,0.7962499999999999,800
T_STDP,8,independent_shift,0,0.35,0.7649999999999999,800
T_STDP,8,independent_shift,1,0.33625,0.7575,800
T_STDP,8,independent_shift,2,0.3425,0.76375,800
T_STDP,8,neuron_shuffled,0,0.27625,0.6912499999999999,800
T_STDP,8,neuron_shuffled,1,0.29250000000000004,0.6887500000000001,800
T_STDP,8,neuron_shuffled,2,0.265,0.68625,800
T_STDP,8,rate_matched,0,0.40874999999999995,0.7699999999999999,800
T_STDP,8,rate_matched,1,0.4287500000000001,0.7875,800
T_STDP,8,rate_matched,2,0.4262499999999999,0.77875,800
SRDP,8,full,0,0.44875,0.7949999999999999,800
SRDP,8,time_collapsed,0,0.40499999999999997,0.7975000000000001,40
SRDP,8,time_shuffled,0,0.4074999999999999,0.8012499999999999,800
SRDP,8,time_shuffled,1,0.41375,0.8,800
SRDP,8,time_shuffled,2,0.40499999999999997,0.79875,800
SRDP,8,independent_shift,0,0.40374999999999994,0.7975000000000001,800
SRDP,8,independent_shift,1,0.41125000000000006,0.79875,800
SRDP,8,independent_shift,2,0.39749999999999996,0.79625,800
SRDP,8,neuron_shuffled,0,0.38125,0.715,800
SRDP,8,neuron_shuffled,1,0.365,0.7037499999999999,800
SRDP,8,neuron_shuffled,2,0.34124999999999994,0.6887500000000001,800
SRDP,8,rate_matched,0,0.44875,0.7949999999999999,800
SRDP,8,rate_matched,1,0.44875,0.7949999999999999,800
SRDP,8,rate_matched,2,0.44875,0.7949999999999999,800
STDP,9,full,0,0.385,0.7612500000000001,800
STDP,9,time_collapsed,0,0.3225,0.76375,40
STDP,9,time_shuffled,0,0.3225,0.75,800
STDP,9,time_shuffled,1,0.30999999999999994,0.7562499999999999,800
STDP,9,time_shuffled,2,0.29874999999999996,0.7499999999999999,800
STDP,9,independent_shift,0,0.31,0.76,800
STDP,9,independent_shift,1,0.31875,0.7625000000000001,800
STDP,9,independent_shift,2,0.3225,0.76125,800
STDP,9,neuron_shuffled,0,0.255,0.615,800
STDP,9,neuron_shuffled,1,0.265,0.6174999999999999,800
STDP,9,neuron_shuffled,2,0.24500000000000002,0.6,800
STDP,9,rate_matched,0,0.33125,0.735,800
STDP,9,rate_matched,1,0.3725,0.7562500000000001,800
STDP,9,rate_matched,2,0.38249999999999995,0.7662500000000001,800
T_STDP,9,full,0,0.385,0.7737499999999999,800
T_STDP,9,time_collapsed,0,0.31999999999999995,0.74375,40
T_STDP,9,time_shuffled,0,0.30250000000000005,0.73875,800
T_STDP,9,time_shuffled,1,0.32625,0.75125,800
T_STDP,9,time_shuffled,2,0.33125,0.7525000000000001,800
T_STDP,9,independent_shift,0,0.32625000000000004,0.74625,800
