metric,rule,n_reps,mean,std,ci95_low,ci95_high
accuracy8,STDP,10,0.475375,0.033484293581717776,0.45142177934476896,0.499328220655231
accuracy8,T_STDP,10,0.55725,0.04577572136697211,0.5245040215943476,0.5899959784056524
accuracy8,SRDP,10,0.66625,0.033850160019316504,0.6420350542619698,0.6904649457380302
accuracy3,STDP,10,0.743375,0.024267390671433953,0.7260151544933017,0.7607348455066983
accuracy3,T_STDP,10,0.7868749999999999,0.027209641367231092,0.767410395138966,0.8063396048610337
accuracy3,SRDP,10,0.8434999999999999,0.0167891333903808,0.8314897774839284,0.8555102225160715
