0.144570	-0.794217	-0.635995	-1.088190
0.144593	-0.793421	-0.638433	-1.086095
0.144485	-0.791442	-0.636868	-1.085594
0.144585	-0.792366	-0.637961	-1.088017
0.144615	-0.793334	-0.636626	-1.087988
0.144613	-0.793520	-0.635576	-1.086356
0.144528	-0.792859	-0.638309	-1.088375
0.144553	-0.792919	-0.636889	-1.086777
0.144598	-0.792176	-0.636108	-1.086049
0.144662	-0.791559	-0.637775	-1.088062
0.144622	-0.792409	-0.637615	-1.086377
0.144535	-0.792845	-0.638692	-1.087478
0.145046	-0.793197	-0.637227	-1.087760
0.149384	-0.793531	-0.636671	-1.086431
0.149563	-0.792094	-0.637751	-1.086793
0.149651	-0.793926	-0.636885	-1.087354
0.149454	-0.791779	-0.637696	-1.086114
0.149714	-0.792017	-0.636452	-1.087561
0.149393	-0.793262	-0.637445	-1.086636
0.149958	-0.795683	-0.638258	-1.085769
0.146671	-0.793058	-0.638240	-1.087377
0.144179	-0.793904	-0.638641	-1.086347
0.144711	-0.792510	-0.637695	-1.086864
0.144496	-0.793639	-0.637813	-1.085095
0.144723	-0.792768	-0.636192	-1.086283
0.144505	-0.793621	-0.636909	-1.086007
0.144693	-0.795378	-0.637942	-1.085659
0.144526	-0.793337	-0.637043	-1.086044
0.144630	-0.793157	-0.638773	-1.086539
0.144506	-0.792878	-0.637323	-1.088984
0.144623	-0.794385	-0.637719	-1.085944
0.144558	-0.794112	-0.636671	-1.088248
0.144625	-0.794265	-0.637946	-1.086410
0.144549	-0.793906	-0.638822	-1.086172
0.144588	-0.794214	-0.637029	-1.086978
0.144554	-0.792918	-0.636210	-1.088481
0.144742	-0.792828	-0.637225	-1.086489
0.144520	-0.793432	-0.638239	-1.087228
0.144756	-0.792497	-0.636374	-1.087076
0.144360	-0.792462	-0.635769	-1.087746
0.145388	-0.795267	-0.637805	-1.087907
0.149493	-0.792819	-0.636745	-1.088322
0.149635	-0.792213	-0.637795	-1.087288
0.149526	-0.792845	-0.638612	-1.085969
0.149713	-0.792192	-0.638260	-1.086405
0.149359	-0.793535	-0.637090	-1.087045
0.150032	-0.794126	-0.637828	-1.086770
0.146715	-0.792593	-0.636256	-1.088057
0.144233	-0.793624	-0.635948	-1.086900
0.144753	-0.792301	-0.637356	-1.085769
0.144592	-0.793082	-0.636533	-1.086504
0.144608	-0.793694	-0.638236	-1.087346
0.144651	-0.793825	-0.636538	-1.087021
0.144536	-0.792690	-0.636675	-1.087540
0.144740	-0.793488	-0.637226	-1.087838
0.144245	-0.794898	-0.636403	-1.088191
0.147890	-0.792252	-0.636249	-1.086357
0.149842	-0.793702	-0.637844	-1.087125
0.149457	-0.793486	-0.637737	-1.087036
0.149556	-0.793138	-0.636834	-1.087315
0.149918	-0.794118	-0.638537	-1.087107
0.146359	-0.792894	-0.637606	-1.085327
0.144191	-0.794175	-0.637749	-1.086579
0.144883	-0.793864	-0.636972	-1.086353
0.144355	-0.793907	-0.636383	-1.088556
0.144702	-0.794113	-0.638243	-1.087782
0.144503	-0.795499	-0.636190	-1.086739
0.144696	-0.793566	-0.636286	-1.088111
0.144487	-0.793286	-0.636789	-1.086529
0.144580	-0.793337	-0.638734	-1.085922
0.144541	-0.793941	-0.638017	-1.087060
0.144672	-0.793360	-0.638310	-1.085660
0.144590	-0.792773	-0.637443	-1.087219
0.144633	-0.794409	-0.636256	-1.086356
0.144600	-0.793496	-0.635844	-1.085033
0.144678	-0.792720	-0.637652	-1.087446
0.144575	-0.791348	-0.636203	-1.086249
0.144563	-0.792439	-0.637148	-1.087530
0.144506	-0.792905	-0.637167	-1.087585
0.144644	-0.793794	-0.637125	-1.087158
