search_idx,search_id,rep,status,elapsed_sec,A_plus,A_minus,tau_plus,tau_minus,tau_pre_M,tau_post_M,A_pre_M,A_post_M,wmin,wmax,eps_w
40,search_040,1,success,16326.451401948929,0.0007,0.0006,11.7,14.0,15.0,17.0,3e-05,4e-05,-1.0,1.0,1e-12
41,search_041,1,success,16897.748372077942,0.0007,0.0006,11.7,14.0,16.0,13.0,3e-05,4e-05,-1.0,1.0,1e-12
42,search_042,1,success,16907.845094919205,0.0007,0.0006,11.7,14.0,16.0,14.0,3e-05,4e-05,-1.0,1.0,1e-12
43,search_043,1,success,16613.763929128647,0.0007,0.0006,11.7,14.0,16.0,15.0,3e-05,4e-05,-1.0,1.0,1e-12
44,search_044,1,success,16456.24546098709,0.0007,0.0006,11.7,14.0,16.0,16.0,3e-05,4e-05,-1.0,1.0,1e-12
45,search_045,1,success,16502.034512043,0.0007,0.0006,11.7,14.0,16.0,17.0,3e-05,4e-05,-1.0,1.0,1e-12
46,search_046,1,success,17107.48852300644,0.0007,0.0006,11.7,14.0,17.0,13.0,3e-05,4e-05,-1.0,1.0,1e-12
47,search_047,1,success,17060.958292245865,0.0007,0.0006,11.7,14.0,17.0,14.0,3e-05,4e-05,-1.0,1.0,1e-12
48,search_048,1,success,16920.207907915115,0.0007,0.0006,11.7,14.0,17.0,15.0,3e-05,4e-05,-1.0,1.0,1e-12
49,search_049,1,success,16780.86106491089,0.0007,0.0006,11.7,14.0,17.0,16.0,3e-05,4e-05,-1.0,1.0,1e-12
50,search_050,1,success,16578.04655790329,0.0007,0.0006,11.7,14.0,17.0,17.0,3e-05,4e-05,-1.0,1.0,1e-12
51,search_051,1,success,16281.795947790146,0.0007,0.0006,11.7,14.0,13.0,13.0,3e-05,5e-05,-1.0,1.0,1e-12
52,search_052,1,success,16285.16638469696,0.0007,0.0006,11.7,14.0,13.0,14.0,3e-05,5e-05,-1.0,1.0,1e-12
53,search_053,1,success,16245.014045000076,0.0007,0.0006,11.7,14.0,13.0,15.0,3e-05,5e-05,-1.0,1.0,1e-12
54,search_054,1,success,16298.970436811447,0.0007,0.0006,11.7,14.0,13.0,16.0,3e-05,5e-05,-1.0,1.0,1e-12
55,search_055,1,success,16227.862540006638,0.0007,0.0006,11.7,14.0,13.0,17.0,3e-05,5e-05,-1.0,1.0,1e-12
56,search_056,1,success,16518.603579998016,0.0007,0.0006,11.7,14.0,14.0,13.0,3e-05,5e-05,-1.0,1.0,1e-12
57,search_057,1,success,16604.585954666138,0.0007,0.0006,11.7,14.0,14.0,14.0,3e-05,5e-05,-1.0,1.0,1e-12
58,search_058,1,success,16597.893977880478,0.0007,0.0006,11.7,14.0,14.0,15.0,3e-05,5e-05,-1.0,1.0,1e-12
59,search_059,1,success,16637.74124979973,0.0007,0.0006,11.7,14.0,14.0,16.0,3e-05,5e-05,-1.0,1.0,1e-12
60,search_060,1,success,16429.807291984558,0.0007,0.0006,11.7,14.0,14.0,17.0,3e-05,5e-05,-1.0,1.0,1e-12
61,search_061,1,success,16766.42857003212,0.0007,0.0006,11.7,14.0,15.0,13.0,3e-05,5e-05,-1.0,1.0,1e-12
62,search_062,1,success,16796.91215991974,0.0007,0.0006,11.7,14.0,15.0,14.0,3e-05,5e-05,-1.0,1.0,1e-12
63,search_063,1,success,16585.414916038513,0.0007,0.0006,11.7,14.0,15.0,15.0,3e-05,5e-05,-1.0,1.0,1e-12
64,search_064,1,success,16596.21238398552,0.0007,0.0006,11.7,14.0,15.0,16.0,3e-05,5e-05,-1.0,1.0,1e-12
65,search_065,1,success,16633.607794046402,0.0007,0.0006,11.7,14.0,15.0,17.0,3e-05,5e-05,-1.0,1.0,1e-12
66,search_066,1,success,16911.30487704277,0.0007,0.0006,11.7,14.0,16.0,13.0,3e-05,5e-05,-1.0,1.0,1e-12
67,search_067,1,success,16676.223075151443,0.0007,0.0006,11.7,14.0,16.0,14.0,3e-05,5e-05,-1.0,1.0,1e-12
68,search_068,1,success,16621.88720703125,0.0007,0.0006,11.7,14.0,16.0,15.0,3e-05,5e-05,-1.0,1.0,1e-12
69,search_069,1,success,16674.53492975235,0.0007,0.0006,11.7,14.0,16.0,16.0,3e-05,5e-05,-1.0,1.0,1e-12
70,search_070,1,success,16623.297103881836,0.0007,0.0006,11.7,14.0,16.0,17.0,3e-05,5e-05,-1.0,1.0,1e-12
71,search_071,1,success,16501.032200098038,0.0007,0.0006,11.7,14.0,17.0,13.0,3e-05,5e-05,-1.0,1.0,1e-12
72,search_072,1,success,16372.22240805626,0.0007,0.0006,11.7,14.0,17.0,14.0,3e-05,5e-05,-1.0,1.0,1e-12
73,search_073,1,success,16271.226874113083,0.0007,0.0006,11.7,14.0,17.0,15.0,3e-05,5e-05,-1.0,1.0,1e-12
74,search_074,1,success,16275.532422065735,0.0007,0.0006,11.7,14.0,17.0,16.0,3e-05,5e-05,-1.0,1.0,1e-12
75,search_075,1,success,16253.676526069641,0.0007,0.0006,11.7,14.0,17.0,17.0,3e-05,5e-05,-1.0,1.0,1e-12
76,search_076,1,success,16158.220654010773,0.0007,0.0006,11.7,14.0,13.0,13.0,3e-05,6e-05,-1.0,1.0,1e-12
77,search_077,1,success,16054.428372859955,0.0007,0.0006,11.7,14.0,13.0,14.0,3e-05,6e-05,-1.0,1.0,1e-12
78,search_078,1,success,16016.889479160309,0.0007,0.0006,11.7,14.0,13.0,15.0,3e-05,6e-05,-1.0,1.0,1e-12
79,search_079,1,success,16119.213789224625,0.0007,0.0006,11.7,14.0,13.0,16.0,3e-05,6e-05,-1.0,1.0,1e-12
80,search_080,1,success,15903.494735956192,0.0007,0.0006,11.7,14.0,13.0,17.0,3e-05,6e-05,-1.0,1.0,1e-12
81,search_081,1,success,16137.78042960167,0.0007,0.0006,11.7,14.0,14.0,13.0,3e-05,6e-05,-1.0,1.0,1e-12
82,search_082,1,success,16143.389380931854,0.0007,0.0006,11.7,14.0,14.0,14.0,3e-05,6e-05,-1.0,1.0,1e-12
83,search_083,1,success,16164.61751794815,0.0007,0.0006,11.7,14.0,14.0,15.0,3e-05,6e-05,-1.0,1.0,1e-12
84,search_084,1,success,16150.58515906334,0.0007,0.0006,11.7,14.0,14.0,16.0,3e-05,6e-05,-1.0,1.0,1e-12
85,search_085,1,success,15800.01812505722,0.0007,0.0006,11.7,14.0,14.0,17.0,3e-05,6e-05,-1.0,1.0,1e-12
86,search_086,1,success,16064.738145112991,0.0007,0.0006,11.7,14.0,15.0,13.0,3e-05,6e-05,-1.0,1.0,1e-12
87,search_087,1,success,16165.151986837387,0.0007,0.0006,11.7,14.0,15.0,14.0,3e-05,6e-05,-1.0,1.0,1e-12
88,search_088,1,success,16020.504011154175,0.0007,0.0006,11.7,14.0,15.0,15.0,3e-05,6e-05,-1.0,1.0,1e-12
89,search_089,1,success,15981.43690609932,0.0007,0.0006,11.7,14.0,15.0,16.0,3e-05,6e-05,-1.0,1.0,1e-12
90,search_090,1,success,16041.548683166504,0.0007,0.0006,11.7,14.0,15.0,17.0,3e-05,6e-05,-1.0,1.0,1e-12
91,search_091,1,success,16076.280789136887,0.0007,0.0006,11.7,14.0,16.0,13.0,3e-05,6e-05,-1.0,1.0,1e-12
92,search_092,1,success,16073.113363742828,0.0007,0.0006,11.7,14.0,16.0,14.0,3e-05,6e-05,-1.0,1.0,1e-12
93,search_093,1,success,16013.107703208923,0.0007,0.0006,11.7,14.0,16.0,15.0,3e-05,6e-05,-1.0,1.0,1e-12
94,search_094,1,success,16153.459864139557,0.0007,0.0006,11.7,14.0,16.0,16.0,3e-05,6e-05,-1.0,1.0,1e-12
95,search_095,1,success,16061.228502750397,0.0007,0.0006,11.7,14.0,16.0,17.0,3e-05,6e-05,-1.0,1.0,1e-12
96,search_096,1,success,16268.786938905716,0.0007,0.0006,11.7,14.0,17.0,13.0,3e-05,6e-05,-1.0,1.0,1e-12
97,search_097,1,success,16263.786331892014,0.0007,0.0006,11.7,14.0,17.0,14.0,3e-05,6e-05,-1.0,1.0,1e-12
98,search_098,1,success,16201.381247997284,0.0007,0.0006,11.7,14.0,17.0,15.0,3e-05,6e-05,-1.0,1.0,1e-12
99,search_099,1,success,16241.55388712883,0.0007,0.0006,11.7,14.0,17.0,16.0,3e-05,6e-05,-1.0,1.0,1e-12
100,search_100,1,success,16046.344097137451,0.0007,0.0006,11.7,14.0,17.0,17.0,3e-05,6e-05,-1.0,1.0,1e-12
101,search_101,1,success,16060.820374965668,0.0007,0.0006,11.7,14.0,13.0,13.0,3e-05,7e-05,-1.0,1.0,1e-12
102,search_102,1,success,16014.325800895691,0.0007,0.0006,11.7,14.0,13.0,14.0,3e-05,7e-05,-1.0,1.0,1e-12
103,search_103,1,success,15980.647922992706,0.0007,0.0006,11.7,14.0,13.0,15.0,3e-05,7e-05,-1.0,1.0,1e-12
104,search_104,1,success,15985.777981996536,0.0007,0.0006,11.7,14.0,13.0,16.0,3e-05,7e-05,-1.0,1.0,1e-12
105,search_105,1,success,15774.94379901886,0.0007,0.0006,11.7,14.0,13.0,17.0,3e-05,7e-05,-1.0,1.0,1e-12
106,search_106,1,success,16103.637010097504,0.0007,0.0006,11.7,14.0,14.0,13.0,3e-05,7e-05,-1.0,1.0,1e-12
107,search_107,1,success,16106.673969984055,0.0007,0.0006,11.7,14.0,14.0,14.0,3e-05,7e-05,-1.0,1.0,1e-12
108,search_108,1,success,16156.213733196259,0.0007,0.0006,11.7,14.0,14.0,15.0,3e-05,7e-05,-1.0,1.0,1e-12
109,search_109,1,success,16055.289600133896,0.0007,0.0006,11.7,14.0,14.0,16.0,3e-05,7e-05,-1.0,1.0,1e-12
110,search_110,1,success,16019.171082019806,0.0007,0.0006,11.7,14.0,14.0,17.0,3e-05,7e-05,-1.0,1.0,1e-12
111,search_111,1,success,16249.89405965805,0.0007,0.0006,11.7,14.0,15.0,13.0,3e-05,7e-05,-1.0,1.0,1e-12
112,search_112,1,success,16170.344140052795,0.0007,0.0006,11.7,14.0,15.0,14.0,3e-05,7e-05,-1.0,1.0,1e-12
113,search_113,1,success,16100.357460975647,0.0007,0.0006,11.7,14.0,15.0,15.0,3e-05,7e-05,-1.0,1.0,1e-12
114,search_114,1,success,15962.506127119064,0.0007,0.0006,11.7,14.0,15.0,16.0,3e-05,7e-05,-1.0,1.0,1e-12
115,search_115,1,success,15870.496669054031,0.0007,0.0006,11.7,14.0,15.0,17.0,3e-05,7e-05,-1.0,1.0,1e-12
116,search_116,1,success,16182.140662908554,0.0007,0.0006,11.7,14.0,16.0,13.0,3e-05,7e-05,-1.0,1.0,1e-12
117,search_117,1,success,16116.133683919907,0.0007,0.0006,11.7,14.0,16.0,14.0,3e-05,7e-05,-1.0,1.0,1e-12
118,search_118,1,success,16061.12934088707,0.0007,0.0006,11.7,14.0,16.0,15.0,3e-05,7e-05,-1.0,1.0,1e-12
119,search_119,1,success,16084.407243013382,0.0007,0.0006,11.7,14.0,16.0,16.0,3e-05,7e-05,-1.0,1.0,1e-12
120,search_120,1,success,15929.708262205124,0.0007,0.0006,11.7,14.0,16.0,17.0,3e-05,7e-05,-1.0,1.0,1e-12
121,search_121,1,success,16286.632958889008,0.0007,0.0006,11.7,14.0,17.0,13.0,3e-05,7e-05,-1.0,1.0,1e-12
122,search_122,1,success,16206.002034187317,0.0007,0.0006,11.7,14.0,17.0,14.0,3e-05,7e-05,-1.0,1.0,1e-12
123,search_123,1,success,16056.514685153961,0.0007,0.0006,11.7,14.0,17.0,15.0,3e-05,7e-05,-1.0,1.0,1e-12
124,search_124,1,success,16178.830861091614,0.0007,0.0006,11.7,14.0,17.0,16.0,3e-05,7e-05,-1.0,1.0,1e-12
125,search_125,1,success,16143.618097305298,0.0007,0.0006,11.7,14.0,17.0,17.0,3e-05,7e-05,-1.0,1.0,1e-12
126,search_126,1,success,17501.022986888885,0.0007,0.0006,11.7,14.0,13.0,13.0,4e-05,3e-05,-1.0,1.0,1e-12
127,search_127,1,success,17501.201869010925,0.0007,0.0006,11.7,14.0,13.0,14.0,4e-05,3e-05,-1.0,1.0,1e-12
128,search_128,1,success,17333.443392038345,0.0007,0.0006,11.7,14.0,13.0,15.0,4e-05,3e-05,-1.0,1.0,1e-12
129,search_129,1,success,17303.2708029747,0.0007,0.0006,11.7,14.0,13.0,16.0,4e-05,3e-05,-1.0,1.0,1e-12
130,search_130,1,success,17328.065366744995,0.0007,0.0006,11.7,14.0,13.0,17.0,4e-05,3e-05,-1.0,1.0,1e-12
