start,generation,candidate,objective,accuracy8_overall_mean,accuracy8_overall_std,accuracy8_overall_variance,accuracy3_overall_mean,accuracy3_overall_std,accuracy3_overall_variance,fisher_ratio_DR_mean,mean_total_spikes_per_trial,std_total_spikes_per_trial,total_spikes_all_trials,spike_base,spike_ratio,active_neuron_count,silent_neuron_count,total_neuron_count,silent_neuron_fraction,n_liq,r_inh_liq,merkel_p,meissner_p,merkel_gain,meissner_gain,RI_opt_gain,SI_opt_gain,USI_opt_gain,merkel_opt_gain,meissner_opt_gain,rec_p_ee,rec_p_ei,rec_p_ie,rec_p_ii,rec_gain_ee,rec_gain_ei,rec_gain_ie,rec_gain_ii,lif_tau_exc,lif_tau_inh,lif_ref_exc,lif_ref_inh,lif_bias,syn_tau_r,syn_tau_d
1,1,1,63.24729762007989,0.6750000000000002,1.1390647892519134e-16,1.297468594113506e-32,1.0,0.0,0.0,0.43281987992008714,655900.5875,6307.695088859241,52472047.0,5000.0,131.1801175,1000,0,1000,0.0,1000,0.11372143769531394,0.09951560167558465,0.04973713351776191,0.05985773214235209,0.039766363533432214,1.0866514657116781,0.5562425360821087,0.2298928319334411,0.05,1.3961604829276824,0.07054064990177987,0.034025411419240585,0.045618558796100904,0.03823919704550425,1.0,0.24050546669109668,0.045374885598045554,0.036741253990630475,50.0,2.0,0.5,2.8970812241410546,-64.80369590153613,0.5,9.731297559197067
1,1,2,-45.08617984014587,0.85,0.0,0.0,0.9750000000000002,2.278129578503827e-16,5.189874376454024e-32,0.6913098401458642,203025.65,29204.817540470136,16242052.0,5000.0,40.605129999999996,1000,0,1000,0.0,1000,0.18053918035355704,0.03498926952044394,0.019925719309548857,0.07799381450961426,0.08562730467023874,2.9073005518986133,0.5531133598717841,1.1307379227568446,1.2318358784234817,20.0,0.05860552803263062,0.06831922221089398,0.09174561706525106,0.0945863693850466,0.057444723767022796,0.5247704517941166,0.03388489005516243,0.16109519716030923,4.479658262443546,3.729384423227288,1.4058772333952447,3.254207318619036,-65.01334870250359,0.5,67.22666996410585
1,1,3,9.114933670896358,0.6374999999999998,1.1390647892519134e-16,1.297468594113506e-32,1.0,0.0,0.0,0.22483402231209032,343786.075,39282.07809436799,27502886.0,5000.0,68.757215,817,37,854,0.04332552693208431,854,0.16313907248965004,0.07165341329902444,0.08461375678340081,0.07114057203572467,0.1386497274667792,1.0602729128588373,4.7128294146436,5.105359141166746,0.3458167516201115,14.046377000639565,0.05994157563271943,0.05649516468311645,0.04181193823966433,0.040854026531341604,0.06528201152288432,0.029735946710760557,0.005,0.42259292155793937,2.0,11.142819559932075,0.9419188814518294,1.280353277045669,-65.29787307682548,0.5,22.494185904144977
1,1,4,10.932516552467256,0.11249999999999998,2.8476619731297836e-17,8.109178713209412e-34,0.5999999999999999,1.1390647892519134e-16,1.297468594113506e-32,0.12781594753274722,111551.6625,12818.683059931742,8924133.0,5000.0,22.3103325,1000,0,1000,0.0,1000,0.2589209121259852,0.050983884738847865,0.05454789616995083,0.05175960228943937,0.02239717515261772,9.730303598584792,5.6924117379724635,0.24670070503608343,0.8966819033761776,2.8697882441060485,0.050456609210924486,0.06386617388546585,0.05082842726630672,0.04678091491051276,0.16731740274981052,0.14011142642479055,0.14474811005970667,0.005,6.454534644573246,20.767769968553278,2.9599756847793643,10.0,-63.67652454022003,0.8590248238311711,86.45331021685183
1,1,5,68.87856800827268,0.03749999999999999,7.119154932824459e-18,5.068236695755882e-35,0.375,0.0,0.0,0.09433449172732723,363614.5125,41222.40815719434,29089161.0,5000.0,72.7229025,1000,0,1000,0.0,1000,0.1290803962883899,0.069921686069823,0.030999386466074905,0.014564746002735687,0.021988484484840354,0.5655191201985749,0.37017553814517973,2.895199842577272,3.0840129036628525,1.2694155198200072,0.1299012068813212,0.0573679010525299,0.04708577669274148,0.07637449859601085,0.6666329160078105,1.0,0.18525335113820518,1.0,2.0,10.95127107822281,1.2460411453065157,1.8516449442854743,-65.57415682201821,10.0,100.0
1,1,6,-20.857352033051164,0.9125000000000002,2.278129578503827e-16,5.189874376454024e-32,1.0,0.0,0.0,3.3038845330511544,44982.6625,10748.025679099206,3598613.0,5000.0,8.996532499999999,353,647,1000,0.647,1000,0.2353643381231264,0.06630451748265913,0.029968829490916567,0.0855160547153234,0.30166577793200894,2.3588833498437514,2.3744990825448027,0.2689627432618829,0.5363145138277261,0.7355174492916968,0.05250126956977711,0.07895705833040799,0.1148790262338966,0.04469006033074153,0.09793971510992086,0.1518425491354932,0.04652702216868022,0.017945189310432187,50.0,18.461890848996497,9.026089056713314,0.5,-64.84491875276379,1.2752921767520196,11.80896677734406
1,1,7,-82.63995447863107,0.9375,0.0,0.0,0.9875000000000002,1.1390647892519134e-16,1.297468594113506e-32,1.5494553481962905,45906.2,2852.6166730818045,3672496.0,5000.0,9.181239999999999,111,4,115,0.034782608695652174,115,0.25378826348921885,0.03769936980769209,0.04218697306545852,0.05161842408689256,0.2525186673408152,0.40375397307940103,0.6527589355297375,2.2390752693468396,20.0,4.05018096277138,0.08555360576456224,0.06988266640310176,0.06125773323822587,0.041852888825484345,1.0,0.10504094171862727,0.11083786047851218,0.30082292400494487,41.022155062816644,2.5029976995683816,0.6135345621761251,0.5,-63.582609098899894,2.955633345743401,23.476156781546454
1,1,6,-23.28873349776997,0.9250000000000002,1.1390647892519134e-16,1.297468594113506e-32,1.0,0.0,0.0,4.558193497769967,45347.3,9640.760307219853,3627784.0,5000.0,9.069460000000001,353,647,1000,0.647,1000,0.2353643381231264,0.06630451748265913,0.029968829490916567,0.0855160547153234,0.30166577793200894,2.3588833498437514,2.3744990825448027,0.2689627432618829,0.5363145138277261,0.7355174492916968,0.05250126956977711,0.07895705833040799,0.1148790262338966,0.04469006033074153,0.09793971510992086,0.1518425491354932,0.04652702216868022,0.017945189310432187,50.0,18.461890848996497,9.026089056713314,0.5,-64.84491875276379,1.2752921767520196,11.80896677734406
1,1,4,9.995281892903579,0.125,0.0,0.0,0.5625,0.0,0.0,0.0976381070964199,112964.6,2065.6529454725064,9037168.0,5000.0,22.59292,1000,0,1000,0.0,1000,0.2589209121259852,0.050983884738847865,0.05454789616995083,0.05175960228943937,0.02239717515261772,9.730303598584792,5.6924117379724635,0.24670070503608343,0.8966819033761776,2.8697882441060485,0.050456609210924486,0.06386617388546585,0.05082842726630672,0.04678091491051276,0.16731740274981052,0.14011142642479055,0.14474811005970667,0.005,6.454534644573246,20.767769968553278,2.9599756847793643,10.0,-63.67652454022003,0.8590248238311711,86.45331021685183
1,1,2,-44.936066496087015,0.85,0.0,0.0,0.9750000000000002,2.278129578503827e-16,5.189874376454024e-32,0.9468539960870113,205053.9375,19170.23582215558,16404315.0,5000.0,41.0107875,1000,0,1000,0.0,1000,0.18053918035355704,0.03498926952044394,0.019925719309548857,0.07799381450961426,0.08562730467023874,2.9073005518986133,0.5531133598717841,1.1307379227568446,1.2318358784234817,20.0,0.05860552803263062,0.06831922221089398,0.09174561706525106,0.0945863693850466,0.057444723767022796,0.5247704517941166,0.03388489005516243,0.16109519716030923,4.479658262443546,3.729384423227288,1.4058772333952447,3.254207318619036,-65.01334870250359,0.5,67.22666996410585
